title,artist,total_play_time
One Love,Shubh,2m 11s
Nasha (Live),Talwiinder & NDS,2m 7s
Uske Liye Yeh Gaana Banaao (Movie: Saiyaara),Faheem Abdullah,2m 6s
Big Shark,Russ Millions,2m 6s
I KNOW LOVE - Jind Universe | Latest Punjabi Love Song 2025,Jind Universe,2m 3s
Broken,SARRB,2m 3s
Same Beef,Bohemia,2m 2s
揽佬 SKAI ISYOURGOD—八方来财·因果（Unofficial Extended Music Video）,DpBill9x Chong,1m 59s
ユリイカ - Eureka,Rokudenashi,1m 58s
Iktara,Amit Trivedi,1m 48s
Apa Fer Milaange,Savi Kahlon,1m 48s
Move Your Body (Alan Walker Remix),Sia,1m 46s
Bol Kaffara Kya Hoga,DJ Chetas,1m 43s
Deserving,Harnoor,1m 43s
Splendor,Harsh Likhari,1m 43s
Wushang (feat. Dank Rishu),arpit bala,1m 42s
chase atlantic - swim [ sped up ] lyrics,speedcore,1m 41s
TERI YAADON MEIN,"K.K., SHREYA GHOSHAL, SAJID-WAJID, and JALEES SHERWANI",1m 40s
Dariya,Himonshu Parikh,1m 38s
Elhaam,Faheem Abdullah,1m 38s
"Gazab (From ""Dil Juunglee"")",Jubin Nautiyal,1m 36s
"Agar Tum Mil Jao (From ""Zeher"")",Shreya Ghoshal,1m 31s
Jaana Ve,Arijit Singh,1m 29s
Admirin' You (feat. Preston Pablo),Karan Aujla,1m 25s
Born to Shine,Diljit Dosanjh,1m 24s
Defender,"Harf Cheema, Sudesh Kumari, & Deep Jandu",1m 24s
Ehsaas (Acoustic),Faheem Abdullah,1m 23s
Don't Stop,DJ HEARTSTRING,1m 22s
Charche,Dhanda Nyoliwala,1m 21s
Koka,Mankirt Aulakh,1m 21s
Dooron Dooron - Unplugged,Paresh Pahuja,1m 20s
Bakhuda Tumhi Ho,Pritam,1m 19s
Vail (feat. Shree Brar & Nimrat Khaira),"Mankirt Aulakh, Nimrat Khaira",1m 18s
Northside,shaitan,1m 17s
Not Guilty,Dhanda Nyoliwala,1m 17s
Doubt,twenty one pilots,1m 16s
"90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")",Gippy Grewal,1m 14s
Kho Gaye Hum Kahan,Jasleen Royal,1m 14s
FloyyMenor - Peligrosa [ ULTRA SLOWED & REVERB ],Abbu Rhythm,1m 12s
Loko (feat. Mista G916),Slim Swagga,1m 10s
OVER AND OVER,Armaan Gill,1m 8s
Zehar,Talhah Yunus,1m 8s
Rubicon Drill,Laddi Chahal,1m 8s
Mortals Funk Remix (Slowed) (feat. Slowed Sounds & Laura Brehm),Warriyo,1m 6s
Bachke,Kulwinder Sohi,1m 6s
Sajni,Arijit Singh,1m 5s
Nazna,Jokhay,1m 4s
Time,Jind Universe,1m 4s
BMW FUNK,YXMKA,1m 2s
Never Fold,Sidhu Moose Wala,1m 1s
"Preet Re (From ""Dhadak 2"")",Darshan Raval,1m 0s
Up To U,Dhanda Nyoliwala,1m 0s
Sang Hoon Tere,Pritam,1m 0s
Sensitive,KR$NA,0m 59s
"Tu Hain Toh - Neeti Mohan Version (From ""Mr. And Mrs. Mahi"")",Neeti Mohan,0m 55s
Bullet,Khasa Aala Chahar,0m 54s
Without You,Avicii,0m 53s
O Mere Khuda,Atif Aslam,0m 52s
Tumse Milke (feat. Ajay Singha),Heeral Chhatralia,0m 52s
cassie - me & u (wtchcrft remix / slowed down),leksa,0m 49s
雪解け - Yukidoke (feat. isui),tayori,0m 48s
O Mere Shahe-Khuban,Abhay Jodhpurkar,0m 47s
Jaaneman,Faheem Abdullah,0m 47s
Unforgettable,Talwiinder,0m 45s
Seet Lehar,Filmy,0m 45s
Ishq Bawla | Coke Studio Bharat,Dhanda Nyoliwala,0m 45s
Fanna Fillah,Faheem Abdullah,0m 45s
Backseat,Southstar,0m 43s
Dancing In the Dark,Bruce Springsteen,0m 43s
Matrix,Southstar,0m 42s
In the End,BROHM,0m 41s
Tu Hain Toh,Neeti Mohan,0m 40s
Gata Only (Slowed + Reverb),Luke Muzzic,0m 38s
Amor Na Praia (Slowed),Flame Runner,0m 38s
Rooh,Adnan Dhool,0m 38s
Kill Goriye,Gurj Sidhu,0m 38s
3 Shaukk,"Avvy Sra, Karan Aujla, & Jyotica Tangri",0m 38s
Farzi,Gurj Sidhu,0m 38s
SLAVA FUNK! (Slowed),MVSTERIOUS,0m 38s
Love Panjab,Jordan Sandhu,0m 37s
光るなら／Goose house,Goose house,0m 35s
Kuz Saal,Arjan Dhillon,0m 35s
Gul,Anuv Jain,0m 34s
BAAWE,"Raftaar, Badshah, & HITEN",0m 33s
Tera Saath,talwiinder & Vylom,0m 33s
Mogambo,Cheema Y,0m 31s
Jaana Nahi,Faheem Abdullah,0m 31s
Sitaara,Akshath,0m 31s
Same Like Me,Arjan Dhillon,0m 31s
Payal,Yo Yo Honey Singh,0m 30s
NO MIDMAN,Navaan Sandhu,0m 30s
CRAZY/LOCO,JANI,0m 30s
Ainsi bas la vida,Indila,0m 30s
